tp,fp,tn,fn,precision,recall,f1_score,runtime
1,3,2,0,0.25,1.0,0.4,0.004997730255126953
1,2,3,0,0.3333333333333333,1.0,0.5,0.0016865730285644531
0,2,3,1,0.0,0.0,0.0,0.0016765594482421875
1,1,4,0,0.5,1.0,0.6666666666666666,0.0016384124755859375
0,1,4,1,0.0,0.0,0.0,0.006171464920043945
0,3,2,1,0.0,0.0,0.0,0.0026564598083496094
0,4,1,1,0.0,0.0,0.0,0.0016434192657470703
1,3,2,0,0.25,1.0,0.4,0.0025997161865234375
1,3,2,0,0.25,1.0,0.4,0.0014700889587402344
1,3,2,0,0.25,1.0,0.4,0.005015850067138672
0,5,0,1,0.0,0.0,0.0,0.003734588623046875
0,1,4,1,0.0,0.0,0.0,0.001379251480102539
0,2,3,1,0.0,0.0,0.0,0.0017230510711669922
0,3,2,1,0.0,0.0,0.0,0.0014529228210449219
0,2,3,1,0.0,0.0,0.0,0.0026390552520751953
0,3,2,1,0.0,0.0,0.0,0.0025787353515625
0,2,3,1,0.0,0.0,0.0,0.0014557838439941406
0,3,2,1,0.0,0.0,0.0,0.0026543140411376953
0,3,2,1,0.0,0.0,0.0,0.0014674663543701172
0,2,3,1,0.0,0.0,0.0,0.0017023086547851562
0,2,3,1,0.0,0.0,0.0,0.0015349388122558594
1,2,3,0,0.3333333333333333,1.0,0.5,0.001486063003540039
1,3,2,0,0.25,1.0,0.4,0.0014357566833496094
0,4,1,1,0.0,0.0,0.0,0.0017120838165283203
0,2,3,1,0.0,0.0,0.0,0.0016443729400634766
0,4,1,1,0.0,0.0,0.0,0.004871368408203125
1,3,2,0,0.25,1.0,0.4,0.0013501644134521484
0,0,5,1,0,0.0,0.0,0.0014214515686035156
0,3,2,1,0.0,0.0,0.0,0.005590677261352539
1,2,3,0,0.3333333333333333,1.0,0.5,0.0014028549194335938
0,2,3,1,0.0,0.0,0.0,0.001451730728149414
1,4,1,0,0.2,1.0,0.3333333333333333,0.0016934871673583984
1,2,3,0,0.3333333333333333,1.0,0.5,0.0013129711151123047
1,1,4,0,0.5,1.0,0.6666666666666666,0.0014324188232421875
0,3,2,1,0.0,0.0,0.0,0.003836393356323242
1,4,1,0,0.2,1.0,0.3333333333333333,0.0038726329803466797
0,3,2,1,0.0,0.0,0.0,0.0016677379608154297
1,3,2,0,0.25,1.0,0.4,0.005277872085571289
1,1,4,0,0.5,1.0,0.6666666666666666,0.0029001235961914062
1,2,3,0,0.3333333333333333,1.0,0.5,0.0014498233795166016
0,4,1,1,0.0,0.0,0.0,0.001438140869140625
1,2,3,0,0.3333333333333333,1.0,0.5,0.0015232563018798828
0,2,3,1,0.0,0.0,0.0,0.001669168472290039
0,3,2,1,0.0,0.0,0.0,0.0028035640716552734
0,3,2,1,0.0,0.0,0.0,0.0014252662658691406
0,4,1,1,0.0,0.0,0.0,0.005077362060546875
1,2,3,0,0.3333333333333333,1.0,0.5,0.002869844436645508
1,2,3,0,0.3333333333333333,1.0,0.5,0.0038497447967529297
0,3,2,1,0.0,0.0,0.0,0.0015225410461425781
1,1,4,0,0.5,1.0,0.6666666666666666,0.0016865730285644531
1,2,3,0,0.3333333333333333,1.0,0.5,0.0017292499542236328
0,2,3,1,0.0,0.0,0.0,0.004058837890625
0,2,3,1,0.0,0.0,0.0,0.0029299259185791016
0,3,2,1,0.0,0.0,0.0,0.001634359359741211
0,3,2,1,0.0,0.0,0.0,0.0037920475006103516
0,2,3,1,0.0,0.0,0.0,0.0037276744842529297
0,4,1,1,0.0,0.0,0.0,0.0018627643585205078
1,1,4,0,0.5,1.0,0.6666666666666666,0.0012671947479248047
1,2,3,0,0.3333333333333333,1.0,0.5,0.0024843215942382812
1,2,3,0,0.3333333333333333,1.0,0.5,0.0014684200286865234
1,2,3,0,0.3333333333333333,1.0,0.5,0.0013153553009033203
1,2,3,0,0.3333333333333333,1.0,0.5,0.002377748489379883
1,3,2,0,0.25,1.0,0.4,0.0017364025115966797
0,1,4,1,0.0,0.0,0.0,0.00376129150390625
0,4,1,1,0.0,0.0,0.0,0.0017070770263671875
1,2,3,0,0.3333333333333333,1.0,0.5,0.003681659698486328
0,3,2,1,0.0,0.0,0.0,0.0028285980224609375
1,1,4,0,0.5,1.0,0.6666666666666666,0.0017199516296386719
1,1,4,0,0.5,1.0,0.6666666666666666,0.0017223358154296875
0,2,3,1,0.0,0.0,0.0,0.003403186798095703
1,5,0,0,0.16666666666666666,1.0,0.2857142857142857,0.00284576416015625
1,1,4,0,0.5,1.0,0.6666666666666666,0.0013494491577148438
1,1,4,0,0.5,1.0,0.6666666666666666,0.0017542839050292969
1,3,2,0,0.25,1.0,0.4,0.0015676021575927734
0,2,3,1,0.0,0.0,0.0,0.0014367103576660156
0,1,4,1,0.0,0.0,0.0,0.0025148391723632812
0,3,2,1,0.0,0.0,0.0,0.0037429332733154297
1,3,2,0,0.25,1.0,0.4,0.0037772655487060547
0,2,3,1,0.0,0.0,0.0,0.005286455154418945
0,3,2,1,0.0,0.0,0.0,0.0017118453979492188
0,3,2,1,0.0,0.0,0.0,0.003852367401123047
1,4,1,0,0.2,1.0,0.3333333333333333,0.0027875900268554688
0,4,1,1,0.0,0.0,0.0,0.00498509407043457
0,4,1,1,0.0,0.0,0.0,0.0017011165618896484
0,4,1,1,0.0,0.0,0.0,0.0028562545776367188
1,2,3,0,0.3333333333333333,1.0,0.5,0.0015180110931396484
1,3,2,0,0.25,1.0,0.4,0.009924650192260742
1,2,3,0,0.3333333333333333,1.0,0.5,0.0017549991607666016
0,1,4,1,0.0,0.0,0.0,0.0017192363739013672
0,3,2,1,0.0,0.0,0.0,0.0014805793762207031
0,2,3,1,0.0,0.0,0.0,0.0013921260833740234
1,2,3,0,0.3333333333333333,1.0,0.5,0.001781463623046875
1,2,3,0,0.3333333333333333,1.0,0.5,0.0013875961303710938
0,3,2,1,0.0,0.0,0.0,0.0014233589172363281
1,2,3,0,0.3333333333333333,1.0,0.5,0.0014150142669677734
1,3,2,0,0.25,1.0,0.4,0.002629995346069336
0,2,3,1,0.0,0.0,0.0,0.0018036365509033203
1,5,0,0,0.16666666666666666,1.0,0.2857142857142857,0.0014319419860839844
0,1,4,1,0.0,0.0,0.0,0.001430511474609375
1,1,4,0,0.5,1.0,0.6666666666666666,0.0013980865478515625
1,2,3,0,0.3333333333333333,1.0,0.5,0.004544973373413086
0,3,2,1,0.0,0.0,0.0,0.0014498233795166016
0,2,3,1,0.0,0.0,0.0,0.0017256736755371094
1,2,3,0,0.3333333333333333,1.0,0.5,0.001707315444946289
1,2,3,0,0.3333333333333333,1.0,0.5,0.0018124580383300781
0,2,3,1,0.0,0.0,0.0,0.001445770263671875
0,5,0,1,0.0,0.0,0.0,0.001413106918334961
1,3,2,0,0.25,1.0,0.4,0.0014870166778564453
1,3,2,0,0.25,1.0,0.4,0.0037081241607666016
0,3,2,1,0.0,0.0,0.0,0.0022306442260742188
1,3,2,0,0.25,1.0,0.4,0.002710103988647461
1,3,2,0,0.25,1.0,0.4,0.002548694610595703
0,3,2,1,0.0,0.0,0.0,0.0037488937377929688
